,Links,Prices,Location,Publication date
0,https://bina.az/items/2720935,165 000AZN,"Bakı şəhəri, Şəfayət Mehdiyev küç.",08 Aprel 2022 
1,https://bina.az/items/2720935,165 000AZN,"Bakı şəhəri, Şəfayət Mehdiyev küç.",08 Aprel 2022 
2,https://bina.az/items/2717855,108 000AZN,"Bakı şəhəri, Məhəmməd Hadi küç.",26 Aprel 2022 
3,https://bina.az/items/2715632,750 000AZN,"Bakı şəhəri, Zaqulba yolu",22 Aprel 2022 
4,https://bina.az/items/2715632,750 000AZN,"Bakı şəhəri, Zaqulba yolu",22 Aprel 2022 
5,https://bina.az/items/2655796,225 000AZN,"Bakı şəhəri, Mərdəkan qəsəbəsi ",21 Aprel 2022 
6,https://bina.az/items/2655796,225 000AZN,"Bakı şəhəri, Mərdəkan qəsəbəsi ",21 Aprel 2022 
7,https://bina.az/items/2747749,130 000AZN,"Bakı şəhəri, Azadlıq pr. ",Bugün 10:18 
8,https://bina.az/items/2747749,130 000AZN,"Bakı şəhəri, Azadlıq pr. ",Bugün 10:18 
9,https://bina.az/items/2688079,260 000AZN,"Gəncə şəhəri, Heydər Əliyev prospekti 43 ",23 Aprel 2022 
10,https://bina.az/items/2688079,260 000AZN,"Gəncə şəhəri, Heydər Əliyev prospekti 43 ",23 Aprel 2022 
11,https://bina.az/items/2726616,101 000AZN,"Bakı şəhəri, Nəsif Bəy Yusifbəyli küç",22 Aprel 2022 
12,https://bina.az/items/2726616,101 000AZN,"Bakı şəhəri, Nəsif Bəy Yusifbəyli küç",22 Aprel 2022 
13,https://bina.az/items/2726616,101 000AZN,"Bakı şəhəri, Nəsif Bəy Yusifbəyli küç",22 Aprel 2022 
14,https://bina.az/items/2722938,65 000AZN,"Bakı şəhəri, 2218k",27 Aprel 2022 
15,https://bina.az/items/2722938,65 000AZN,"Bakı şəhəri, 2218k",27 Aprel 2022 
16,https://bina.az/items/2758052,78 000AZN,"Bakı şəhəri, Zabrat dairəsi - Pirşağı yolu bina 6",28 Aprel 2022 
17,https://bina.az/items/2758052,78 000AZN,"Bakı şəhəri, Zabrat dairəsi - Pirşağı yolu bina 6",28 Aprel 2022 
18,https://bina.az/items/2758052,78 000AZN,"Bakı şəhəri, Zabrat dairəsi - Pirşağı yolu bina 6",28 Aprel 2022 
19,https://bina.az/items/2750633,430 000AZN,"Bakı şəhəri, Mərdəkan qəs",Bugün 12:22 
20,https://bina.az/items/2750633,430 000AZN,"Bakı şəhəri, Mərdəkan qəs",Bugün 12:22 
21,https://bina.az/items/2720753,85 000AZN,"Bakı şəhəri, Bəsti Bağırova küç.",20 Aprel 2022 
22,https://bina.az/items/2720753,85 000AZN,"Bakı şəhəri, Bəsti Bağırova küç.",20 Aprel 2022 
23,https://bina.az/items/2757962,265 000AZN,"Bakı şəhəri, Ülvü Bünyadzadə küç.",28 Aprel 2022 
24,https://bina.az/items/2757962,265 000AZN,"Bakı şəhəri, Ülvü Bünyadzadə küç.",28 Aprel 2022 
25,https://bina.az/items/2742950,390 000AZN,"Bakı şəhəri, Yaşıl ada 1",Dünən 16:43 
26,https://bina.az/items/2742950,390 000AZN,"Bakı şəhəri, Yaşıl ada 1",Dünən 16:43 
27,https://bina.az/items/2533405,1 990AZN/ay,"Bakı şəhəri, Zığ Şossesi 12-ci Km",24 Aprel 2022 
28,https://bina.az/items/2711737,338 000AZN,"Bakı şəhəri, Rəşid Behbudov 54 ev 129",Dünən 12:33 
29,https://bina.az/items/2711737,338 000AZN,"Bakı şəhəri, Rəşid Behbudov 54 ev 129",Dünən 12:33 
30,https://bina.az/items/2757451,104 000AZN,"Bakı şəhəri, M. Rüstəmov küçəsi",Dünən 23:35 
31,https://bina.az/items/2757451,104 000AZN,"Bakı şəhəri, M. Rüstəmov küçəsi",Dünən 23:35 
32,https://bina.az/items/2744846,49 000AZN,"Bakı şəhəri, Baki Şamaxı şossesi 14",21 Aprel 2022 
33,https://bina.az/items/2744846,49 000AZN,"Bakı şəhəri, Baki Şamaxı şossesi 14",21 Aprel 2022 
34,https://bina.az/items/2712210,3 000AZN/ay,"Bakı şəhəri, Məmməd Rəhim küçəsi",04 Aprel 2022 
35,https://bina.az/items/1480492,1 200AZN/ay,"Bakı şəhəri, Новханы",24 Aprel 2022 
36,https://bina.az/items/2660893,380 000AZN,"Bakı şəhəri, Mərdəkan qəsəbəsi",23 Aprel 2022 
37,https://bina.az/items/2660893,380 000AZN,"Bakı şəhəri, Mərdəkan qəsəbəsi",23 Aprel 2022 
38,https://bina.az/items/2713180,193 000AZN,"Bakı şəhəri, Mərdəkan qəs.",15 Aprel 2022 
39,https://bina.az/items/2713180,193 000AZN,"Bakı şəhəri, Mərdəkan qəs.",15 Aprel 2022 
40,https://bina.az/items/2738710,12 000AZN,"Bakı şəhəri, Qaçqın şəhərciyi ilə üz-bəüz",25 Aprel 2022 
41,https://bina.az/items/2758811,977 500AZN,"Bakı şəhəri, Kənar Dairəvi yol 10",Dünən 10:42 
